"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.134611602E0,3.162790080E1,-9.714918850E1,1.249757898E2,9.890000153E1,0.000000000E0,0.000000000E0,9.977472686E-3,1.402900028E1,1.000000000E0,0.000000000E0
1.606718750E0,3.162789061E1,-9.714929320E1,1.390272736E2,1.129513550E2,2.700000107E-1,1.758000031E2,1.553454688E-2,6.368279934E0,1.008215141E1,0.000000000E0
2.605468698E0,3.162785689E1,-9.714924988E1,1.357906695E2,1.097148438E2,0.000000000E0,0.000000000E0,1.653072552E-2,4.630571365E0,7.175112247E0,1.700000000E1
3.606093646E0,3.162786570E1,-9.714925179E1,1.355487378E2,1.094729004E2,0.000000000E0,0.000000000E0,1.711702809E-2,4.113780499E0,5.897212982E0,1.900000000E1
4.605467499E0,3.162786585E1,-9.714925798E1,1.351053258E2,1.090294800E2,0.000000000E0,0.000000000E0,1.880923072E-2,3.925670624E0,5.318410397E0,1.900000000E1
5.605620728E0,3.162785439E1,-9.714924622E1,1.341649296E2,1.080891113E2,0.000000000E0,0.000000000E0,1.931326223E-2,3.790092468E0,4.742166996E0,1.900000000E1
6.605777290E0,3.162785231E1,-9.714924149E1,1.351389812E2,1.090631714E2,0.000000000E0,0.000000000E0,1.966614907E-2,3.790092468E0,4.180354595E0,1.900000000E1
7.605992863E0,3.162785535E1,-9.714924256E1,1.367352992E2,1.106594849E2,0.000000000E0,0.000000000E0,1.992910489E-2,3.790092468E0,4.217525005E0,1.900000000E1
8.606320987E0,3.162785350E1,-9.714924083E1,1.380532271E2,1.119774170E2,0.000000000E0,0.000000000E0,2.041541696E-2,3.790092468E0,4.024330139E0,1.900000000E1
9.606181404E0,3.162784937E1,-9.714923914E1,1.378753031E2,1.117994995E2,0.000000000E0,0.000000000E0,2.062411808E-2,3.790092468E0,3.788296223E0,1.900000000E1
1.060548984E1,3.162784892E1,-9.714923700E1,1.369780219E2,1.109022217E2,0.000000000E0,0.000000000E0,2.074740006E-2,3.790092468E0,3.543395519E0,1.900000000E1
1.160574010E1,3.162784840E1,-9.714923815E1,1.368785356E2,1.108027344E2,0.000000000E0,0.000000000E0,2.092485138E-2,3.790092468E0,3.375937700E0,2.000000000E1
1.260611890E1,3.162784939E1,-9.714923962E1,1.369218736E2,1.108460693E2,0.000000000E0,0.000000000E0,2.099159365E-2,3.790092468E0,3.309080362E0,2.000000000E1
1.360641041E1,3.162784889E1,-9.714923923E1,1.367227148E2,1.106469116E2,0.000000000E0,0.000000000E0,2.112210722E-2,3.790092468E0,3.268123388E0,1.900000000E1
1.460585406E1,3.162784815E1,-9.714923816E1,1.363199416E2,1.102441406E2,0.000000000E0,0.000000000E0,2.114627775E-2,3.790092468E0,3.000856161E0,1.800000000E1
1.560627453E1,3.162784835E1,-9.714923806E1,1.363168900E2,1.102410889E2,0.000000000E0,0.000000000E0,2.119661760E-2,3.790092468E0,2.989270926E0,1.800000000E1
1.660614572E1,3.162784796E1,-9.714923833E1,1.359891311E2,1.099133301E2,0.000000000E0,0.000000000E0,2.184281540E-2,3.790092468E0,2.811727047E0,1.800000000E1
1.760638526E1,3.162784311E1,-9.714923457E1,1.352205664E2,1.091447754E2,0.000000000E0,0.000000000E0,2.189967438E-2,3.790092468E0,2.557189226E0,2.100000000E1
1.860570416E1,3.162784284E1,-9.714923508E1,1.356100322E2,1.095342407E2,0.000000000E0,0.000000000E0,2.272057662E-2,3.790092468E0,2.500000000E0,2.300000000E1
1.960580640E1,3.162784625E1,-9.714922739E1,1.351863193E2,1.091105347E2,7.599999905E-1,3.522999878E2,2.339678790E-2,3.790092468E0,2.839471579E0,2.100000000E1
2.060589848E1,3.162784468E1,-9.714922049E1,1.350777268E2,1.090019531E2,2.500000000E-1,3.220000076E1,2.481736595E-2,3.790092468E0,2.898087502E0,1.600000000E1
2.160633551E1,3.162784678E1,-9.714920569E1,1.347228507E2,1.086470947E2,1.169999957E0,5.429999924E1,2.511221567E-2,3.790092468E0,2.840894699E0,1.800000000E1
2.260519640E1,3.162784755E1,-9.714920271E1,1.342799153E2,1.082041626E2,4.600000083E-1,5.329999924E1,2.624669519E-2,3.790092468E0,2.843481541E0,1.600000000E1
2.360577312E1,3.162785004E1,-9.714919109E1,1.339378612E2,1.078621216E2,7.599999905E-1,7.640000153E1,2.701144640E-2,3.790092468E0,2.956615686E0,1.600000000E1
2.460473536E1,3.162785166E1,-9.714918324E1,1.338429427E2,1.077672119E2,7.599999905E-1,7.640000153E1,2.756602381E-2,3.790092468E0,3.177021265E0,1.600000000E1
2.560638692E1,3.162785500E1,-9.714917889E1,1.323226766E2,1.062469482E2,5.400000215E-1,8.130000305E1,2.883057702E-2,3.790092468E0,3.165590286E0,1.900000000E1
2.660476530E1,3.162785768E1,-9.714916591E1,1.305484309E2,1.044727173E2,1.169999957E0,8.259999847E1,2.924778383E-2,3.790092468E0,3.177667141E0,1.900000000E1
2.760546655E1,3.162785686E1,-9.714916161E1,1.299006582E2,1.038249512E2,4.799999893E-1,9.719999695E1,2.954388725E-2,3.790092468E0,3.292766809E0,1.900000000E1
2.860465395E1,3.162785631E1,-9.714915855E1,1.291456486E2,1.030699463E2,5.199999809E-1,8.409999847E1,2.978474276E-2,3.790092468E0,3.513753414E0,1.900000000E1
2.960504171E1,3.162785643E1,-9.714916109E1,1.290980447E2,1.030223389E2,0.000000000E0,0.000000000E0,3.007359192E-2,3.790092468E0,3.332479477E0,1.900000000E1
3.060510900E1,3.162785649E1,-9.714916414E1,1.290831563E2,1.030074463E2,0.000000000E0,0.000000000E0,3.070637114E-2,3.790092468E0,3.335569620E0,1.900000000E1
3.160472962E1,3.162786183E1,-9.714916183E1,1.282915327E2,1.022158203E2,0.000000000E0,0.000000000E0,3.207991598E-2,3.790092468E0,3.095964670E0,2.000000000E1
3.260513790E1,3.162787313E1,-9.714915597E1,1.283576375E2,1.022819214E2,1.090000033E0,1.400000000E1,3.244676131E-2,3.790092468E0,3.084433794E0,2.200000000E1
3.360537478E1,3.162787601E1,-9.714915408E1,1.279275842E2,1.018518677E2,1.700000018E-1,3.050000000E1,3.290833569E-2,3.790092468E0,3.137389421E0,2.200000000E1
3.460502040E1,3.162787200E1,-9.714915282E1,1.274458279E2,1.013701172E2,4.799999893E-1,1.398999939E2,3.313462751E-2,3.790092468E0,3.266889572E0,2.200000000E1
3.560532874E1,3.162787025E1,-9.714915404E1,1.274205592E2,1.013448486E2,0.000000000E0,0.000000000E0,3.318379162E-2,3.790092468E0,3.201399326E0,2.200000000E1
3.660511816E1,3.162786999E1,-9.714915446E1,1.274173857E2,1.013416748E2,0.000000000E0,0.000000000E0,3.319690721E-2,3.790092468E0,3.326385975E0,2.200000000E1
3.760541134E1,3.162786988E1,-9.714915441E1,1.274255642E2,1.013498535E2,0.000000000E0,0.000000000E0,3.320844822E-2,3.790092468E0,3.385949850E0,2.200000000E1
3.860458394E1,3.162786981E1,-9.714915432E1,1.274367334E2,1.013610229E2,0.000000000E0,0.000000000E0,3.322328768E-2,3.790092468E0,3.259589911E0,2.300000000E1
3.960506832E1,3.162786975E1,-9.714915418E1,1.274454612E2,1.013697510E2,0.000000000E0,0.000000000E0,3.323050252E-2,3.790092468E0,3.214344501E0,2.200000000E1
4.060524316E1,3.162786971E1,-9.714915412E1,1.274476584E2,1.013719482E2,0.000000000E0,0.000000000E0,3.324059619E-2,3.790092468E0,3.042440891E0,2.200000000E1
4.160519566E1,3.162786965E1,-9.714915404E1,1.274360615E2,1.013603516E2,0.000000000E0,0.000000000E0,3.324854489E-2,3.790092468E0,2.948206186E0,2.200000000E1
4.260548504E1,3.162786960E1,-9.714915398E1,1.274278216E2,1.013521118E2,0.000000000E0,0.000000000E0,3.325621654E-2,3.790092468E0,2.930587769E0,2.200000000E1
4.360538696E1,3.162786954E1,-9.714915394E1,1.274309343E2,1.013552246E2,0.000000000E0,0.000000000E0,3.325863360E-2,3.790092468E0,2.837467432E0,2.200000000E1
4.460507238E1,3.162786952E1,-9.714915395E1,1.274374040E2,1.013616943E2,0.000000000E0,0.000000000E0,3.340383154E-2,3.790092468E0,2.768671036E0,2.200000000E1
4.560482962E1,3.162786853E1,-9.714915295E1,1.271211785E2,1.010454712E2,0.000000000E0,0.000000000E0,3.369340392E-2,3.790092468E0,2.616818428E0,2.200000000E1
4.660488212E1,3.162786763E1,-9.714915008E1,1.275334662E2,1.014577637E2,3.300000131E-1,9.859999847E1,3.391394527E-2,3.790092468E0,2.500000000E0,2.200000000E1
4.760459488E1,3.162786599E1,-9.714914877E1,1.272025302E2,1.011268311E2,2.099999934E-1,8.250000000E1,3.417523854E-2,3.790092468E0,2.500000000E0,2.300000000E1
4.860449269E1,3.162786418E1,-9.714915053E1,1.271577309E2,1.010820312E2,0.000000000E0,0.000000000E0,3.424477527E-2,3.790092468E0,2.537168741E0,2.300000000E1
4.960534951E1,3.162786373E1,-9.714915104E1,1.271469279E2,1.010712280E2,0.000000000E0,0.000000000E0,3.426060739E-2,3.790092468E0,2.558002472E0,2.300000000E1
5.060529149E1,3.162786361E1,-9.714915113E1,1.271398478E2,1.010641479E2,0.000000000E0,0.000000000E0,3.426782223E-2,3.790092468E0,2.567108870E0,2.300000000E1
5.160526670E1,3.162786357E1,-9.714915107E1,1.271291665E2,1.010534668E2,0.000000000E0,0.000000000E0,3.480549311E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.260508259E1,3.162786330E1,-9.714914540E1,1.255774618E2,9.950177002E1,3.600000143E-1,6.120000076E1,3.531241511E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.360462139E1,3.162786442E1,-9.714914021E1,1.248176293E2,9.874194336E1,2.599999905E-1,7.019999695E1,3.601713556E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.460504160E1,3.162786574E1,-9.714913293E1,1.240263611E2,9.795068359E1,4.399999976E-1,6.950000000E1,3.669248591E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.560467076E1,3.162786996E1,-9.714912780E1,1.241332922E2,9.805761719E1,6.299999952E-1,4.640000153E1,3.754218607E-2,3.790092468E0,2.500000000E0,2.200000000E1
5.660547946E1,3.162787760E1,-9.714912762E1,1.231078481E2,9.703216553E1,6.000000238E-1,1.110000038E1,3.841642000E-2,3.790092468E0,2.500000000E0,2.200000000E1
5.760545477E1,3.162788006E1,-9.714911885E1,1.229463398E2,9.687066650E1,9.900000095E-1,8.430000305E1,3.955038864E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.860540081E1,3.162787727E1,-9.714910733E1,1.224762897E2,9.640063477E1,9.200000167E-1,9.940000153E1,4.043028619E-2,3.790092468E0,2.500000000E0,2.300000000E1
5.960509217E1,3.162787409E1,-9.714909882E1,1.217970148E2,9.572137451E1,7.900000215E-1,9.819999695E1,4.120223108E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.060514633E1,3.162787284E1,-9.714909080E1,1.217174128E2,9.564178467E1,6.200000048E-1,1.025999985E2,4.197391902E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.160502529E1,3.162787131E1,-9.714908285E1,1.220509577E2,9.597534180E1,5.600000024E-1,1.259000015E2,4.256343370E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.260529045E1,3.162786842E1,-9.714907763E1,1.216968217E2,9.562121582E1,3.799999952E-1,1.493000031E2,4.298814363E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.360504940E1,3.162786810E1,-9.714907316E1,1.218489760E2,9.577337646E1,2.899999917E-1,1.219000015E2,4.406629225E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.460468117E1,3.162786609E1,-9.714906202E1,1.217538662E2,9.567828369E1,1.100000024E0,1.035000000E2,4.475468398E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.560507107E1,3.162786618E1,-9.714905475E1,1.215158194E2,9.544024658E1,3.600000143E-1,8.780000305E1,4.501355422E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.660503789E1,3.162786737E1,-9.714905240E1,1.214168795E2,9.534130859E1,0.000000000E0,0.000000000E0,4.506618018E-2,3.790092468E0,2.500000000E0,2.200000000E1
6.760504263E1,3.162786768E1,-9.714905198E1,1.214118744E2,9.533630371E1,0.000000000E0,0.000000000E0,4.508132069E-2,3.790092468E0,2.500000000E0,2.200000000E1
6.860495112E1,3.162786777E1,-9.714905186E1,1.214121184E2,9.533654785E1,0.000000000E0,0.000000000E0,4.508424155E-2,3.790092468E0,2.500000000E0,2.300000000E1
6.960514133E1,3.162786775E1,-9.714905184E1,1.214021697E2,9.532659912E1,0.000000000E0,0.000000000E0,4.595696306E-2,3.790092468E0,2.500000000E0,2.300000000E1
7.060471898E1,3.162786149E1,-9.714904628E1,1.214559888E2,9.538043213E1,6.999999881E-1,1.306000061E2,4.664362185E-2,3.790092468E0,2.500000000E0,2.300000000E1
7.160449055E1,3.162785784E1,-9.714904043E1,1.216775348E2,9.560198975E1,6.100000143E-1,1.145999985E2,4.702485612E-2,3.790092468E0,2.500000000E0,2.300000000E1
7.260467023E1,3.162785836E1,-9.714904441E1,1.217573747E2,9.568182373E1,2.500000000E-1,1.223000031E2,4.810827698E-2,3.790092468E0,2.500000000E0,2.300000000E1
7.360512706E1,3.162785762E1,-9.714905582E1,1.215789835E2,9.550341797E1,6.200000048E-1,2.727000122E2,4.933992129E-2,3.790092468E0,2.500000000E0,2.300000000E1
7.460544081E1,3.162785867E1,-9.714906877E1,1.213675762E2,9.529199219E1,8.899999857E-1,2.887000122E2,5.042201643E-2,3.790092468E0,2.500000000E0,2.300000000E1
7.560539336E1,3.162786165E1,-9.714907965E1,1.214152623E2,9.533966064E1,8.500000238E-1,2.942999878E2,5.146727726E-2,3.790092468E0,2.500000000E0,2.300000000E1
7.660486065E1,3.162786166E1,-9.714909069E1,1.225555360E2,9.647991943E1,7.599999905E-1,2.808999939E2,5.334410048E-2,3.790092468E0,2.724179506E0,2.300000000E1
7.760469398E1,3.162785892E1,-9.714911025E1,1.217755302E2,9.569989014E1,1.159999967E0,2.638999939E2,5.460326894E-2,3.790092468E0,2.833740473E0,2.300000000E1
7.860511794E1,3.162785761E1,-9.714912346E1,1.214092136E2,9.533355713E1,6.000000238E-1,2.742999878E2,5.591899618E-2,3.790092468E0,2.640823841E0,2.300000000E1
7.960538200E1,3.162786278E1,-9.714913596E1,1.219114940E2,9.583581543E1,1.070000052E0,3.043999939E2,5.768245358E-2,3.790092468E0,2.675961018E0,2.300000000E1
8.043273273E1,3.162786469E1,-9.714915445E1,1.224400243E2,9.636431885E1,3.499999940E-1,2.612000122E2,6.138406685E-2,4.930765152E0,4.541627884E0,2.100000000E1
8.111015440E1,3.162784107E1,-9.714918200E1,1.228002055E2,9.672448730E1,3.300000131E-1,2.612000122E2,6.261139892E-2,5.529741764E0,5.051205635E0,2.200000000E1
8.210903013E1,3.162783990E1,-9.714916911E1,1.237006387E2,9.762493896E1,4.799999893E-1,9.369999695E1,6.419071482E-2,4.624132633E0,4.795556068E0,2.300000000E1
8.310855966E1,3.162785177E1,-9.714917827E1,1.207062174E2,9.463049316E1,1.500000060E-1,7.669999695E1,6.481926989E-2,4.276055813E0,4.596376896E0,2.300000000E1
8.410865945E1,3.162785296E1,-9.714917178E1,1.206979091E2,9.462219238E1,4.000000060E-1,3.517000122E2,6.625961268E-2,4.102227211E0,4.498573303E0,2.300000000E1
8.510840888E1,3.162785431E1,-9.714915665E1,1.202925556E2,9.421685791E1,3.899999857E-1,3.050000000E1,6.740216910E-2,3.871440887E0,4.017005444E0,2.300000000E1
8.610871455E1,3.162786021E1,-9.714914677E1,1.209006417E2,9.482495117E1,9.700000286E-1,8.250000000E1,6.853830550E-2,3.790092468E0,3.398562193E0,2.300000000E1
8.710855330E1,3.162785949E1,-9.714913480E1,1.205056053E2,9.442993164E1,8.199999928E-1,8.259999847E1,6.951849200E-2,3.790092468E0,2.966149330E0,2.300000000E1
8.810845127E1,3.162785879E1,-9.714912448E1,1.204953978E2,9.441973877E1,7.300000191E-1,8.269999695E1,7.040944988E-2,3.790092468E0,2.575823069E0,2.300000000E1
8.910934976E1,3.162785873E1,-9.714911507E1,1.203492059E2,9.427355957E1,8.299999833E-1,8.290000153E1,7.122780300E-2,3.790092468E0,2.553069592E0,2.200000000E1
9.010869872E1,3.162785771E1,-9.714910651E1,1.202698476E2,9.419421387E1,8.199999928E-1,8.309999847E1,7.271223517E-2,3.790092468E0,2.500000000E0,2.200000000E1
9.110884549E1,3.162785554E1,-9.714909104E1,1.198928715E2,9.381726074E1,1.500000000E0,9.409999847E1,7.465618595E-2,3.790092468E0,2.500000000E0,2.300000000E1
9.210930460E1,3.162785530E1,-9.714907051E1,1.197136444E2,9.363806152E1,1.460000038E0,8.800000000E1,7.689012513E-2,3.790092468E0,2.500000000E0,2.300000000E1
9.310879158E1,3.162785129E1,-9.714904739E1,1.196587386E2,9.358319092E1,1.799999952E0,1.056999969E2,7.824193646E-2,3.790092468E0,2.500000000E0,2.300000000E1
9.410843512E1,3.162784870E1,-9.714903344E1,1.195633192E2,9.348779297E1,9.399999976E-1,1.100999985E2,7.918244138E-2,3.790092468E0,2.500000000E0,2.300000000E1
9.510875210E1,3.162784737E1,-9.714902363E1,1.200958364E2,9.402032471E1,4.699999988E-1,1.060999985E2,7.972524916E-2,3.790092468E0,2.500000000E0,2.300000000E1
9.610855007E1,3.162784770E1,-9.714901791E1,1.200749550E2,9.399945068E1,0.000000000E0,0.000000000E0,7.985429859E-2,3.790092468E0,2.500000000E0,2.200000000E1
9.710830903E1,3.162784786E1,-9.714901656E1,1.200834983E2,9.400799561E1,0.000000000E0,0.000000000E0,7.989514716E-2,3.790092468E0,2.500000000E0,2.200000000E1
9.810879965E1,3.162784789E1,-9.714901613E1,1.200831315E2,9.400762939E1,0.000000000E0,0.000000000E0,7.991251286E-2,3.790092468E0,2.500000000E0,2.200000000E1
9.910846335E1,3.162784786E1,-9.714901595E1,1.200778822E2,9.400238037E1,0.000000000E0,0.000000000E0,NaN,3.790092468E0,2.500000000E0,2.300000000E1
